CSE0000000,2018/2/2,Eastern China,Pinduoduo
CSE0000001,2017/7/7,Europe,Unilever
CSE0000002,2003/11/23,Europe,Deutsche Bank
CSE0000003,2018/4/25,America,Albertson's
CSE0000004,2001/5/24,Europe,Santander Central Hispano Group
CSE0000005,2021/5/23,Europe,Koninklijke Ahold
CSE0000006,2015/2/27,America,Kroger
CSE0000007,2010/9/3,America,Kroger
CSE0000008,2000/10/12,Southern China,Tencent
CSE0000009,2003/4/30,Asia,Mitsubishi Motors
CSE0000010,2013/5/9,Europe,BNP Paribas
CSE0000011,2017/12/11,Europe,HSBC Holdings
CSE0000012,2021/1/11,America,Delphi Automotive Systems
CSE0000013,2021/12/16,Europe,Allianz
CSE0000014,2005/5/8,Europe,Munich Re Group
CSE0000015,2015/3/26,Southwestern China,Chengdu AIG
CSE0000016,2013/10/25,America,Home Depot
CSE0000017,2002/10/3,Europe,Robert Bosch
CSE0000018,2008/2/24,Europe,HSBC Holdings
CSE0000019,2004/2/1,America,Cardinal Health
CSE0000020,2011/1/23,Europe,BASF
CSE0000021,2001/3/6,Northern China,Meituan
CSE0000022,2011/2/2,America,Target
CSE0000023,2006/1/16,Northern China,Agricultural Bank of China
CSE0000024,2011/8/3,Europe,CGNU
CSE0000025,2017/11/7,Europe,Koninklijke Ahold
CSE0000026,2019/6/12,America,Enron
CSE0000027,2021/7/22,Europe,HSBC Holdings
CSE0000028,2009/10/21,Europe,Tesco
CSE0000029,2011/9/5,Northern China,Industrial and Commercial Bank of China
CSE0000030,2012/6/5,Europe,Peugeot
CSE0000031,2009/4/14,Europe,Alcatel
CSE0000032,2015/2/14,America,Dell Computer
CSE0000033,2018/2/5,America,Safeway
CSE0000034,2009/1/16,Asia,Nissho Iwai
CSE0000035,2019/7/3,Europe,Royal Philips Electronics
CSE0000036,2021/11/29,Northern China,China North Industries Group Corporation
CSE0000037,2001/4/11,America,Johnson & Johnson
CSE0000038,2003/2/2,Asia,Samsung Electronics
CSE0000039,2000/5/18,Europe,Nestlиж
CSE0000040,2010/5/16,Europe,Deutsche Bank
CSE0000041,2013/1/20,America,Hewlett-Packard
CSE0000042,2006/6/30,America,Safeway
CSE0000043,2018/3/27,Europe,ABN AMRO Holding
CSE0000044,2006/11/22,Asia,Honda Motor
CSE0000045,2003/9/11,Europe,Santander Central Hispano Group
CSE0000046,2004/10/27,Asia,NEC
CSE0000047,2007/4/3,America,J.C. Penney
CSE0000048,2000/1/25,America,Berkshire Hathaway
CSE0000049,2017/12/16,Northern China,Meituan
CSE0000050,2019/8/30,America,Berkshire Hathaway
CSE0000051,2017/12/4,America,Duke Energy
CSE0000052,2002/5/11,America,Goldman Sachs Group
CSE0000053,2001/3/9,America,Pfizer
CSE0000054,2007/10/7,Asia,Samsung Electronics
CSE0000055,2020/11/4,America,Fannie Mae
CSE0000056,2008/1/9,Europe,BNP Paribas
CSE0000057,2013/7/20,America,Dynegy
CSE0000058,2009/7/7,America,Exxon Mobil
CSE0000059,2012/9/14,Europe,Rwe Group
CSE0000060,2016/1/22,Europe,HypoVereinsbank
CSE0000061,2000/12/14,America,Morgan Stanley Dean Witter
CSE0000062,2000/4/27,Europe,Total Fina Elf
CSE0000063,2011/5/31,America,Fannie Mae
CSE0000064,2019/6/12,America,Procter & Gamble
CSE0000065,2012/11/22,America,Reliant Energy
CSE0000066,2013/11/26,America,Johnson & Johnson
CSE0000067,2020/1/9,Europe,Peugeot
CSE0000068,2020/7/12,Europe,DaimlerChrysler
CSE0000069,2015/8/15,Europe,L.M. Ericsson
CSE0000070,2022/1/4,Europe,Credit Suisse
CSE0000071,2015/3/4,Europe,Alcatel
CSE0000072,2014/1/3,America,Goldman Sachs Group
CSE0000073,2008/7/6,Europe,Rwe Group
CSE0000074,2016/3/15,Asia,Nippon Telegraph & Telephone
CSE0000075,2010/8/29,Asia,Tokyo Electric Power
CSE0000076,2016/5/10,America,Sears Roebuck
CSE0000077,2009/8/18,America,Pfizer
CSE0000078,2016/8/28,Asia,Hyundai
CSE0000079,2005/8/8,America,General Motors
CSE0000080,2012/5/7,Asia,Samsung Electronics
CSE0000081,2001/2/5,Europe,BMW
CSE0000082,2003/7/18,Northern China,Meituan
CSE0000083,2011/3/5,Asia,Dai-ichi Mutual Life Insurance
CSE0000084,2011/8/18,Asia,SK
CSE0000085,2009/3/8,America,Freddie Mac
CSE0000086,2006/7/18,America,Philip Morris
CSE0000087,2015/10/1,Asia,Toshiba
CSE0000088,2003/11/10,Northern China,China North Industries Group Corporation
CSE0000089,2003/8/21,America,General Motors
CSE0000090,2002/8/8,Asia,Honda Motor
CSE0000091,2019/5/20,America,Delphi Automotive Systems
CSE0000092,2017/5/7,Europe,Alcatel
CSE0000093,2014/10/8,Europe,Metro
CSE0000094,2021/6/20,Asia,NEC
CSE0000095,2012/4/29,America,Chevron
CSE0000096,2015/9/16,Europe,Renault
CSE0000097,2000/7/15,America,Texaco
